name;title;category;tag;blurb;hp;hpperlevel;movespeed;armor;attackrange;hpregen;attackdamage;attackdamageperlevel;attackspeedperlevel
Nocturne;az örök rémálom;Assassin;Assassin,Fighter;Nocturne színrelépése elõtt úgy vélték, az álmok csupán a képzelet koholmányai, az alvó elmén végigcikázó jelentéktelen képek. Ez az elmélet megdõlni látszott, amikor egy sor alvással kapcsolatos probléma kezdte kínozni a Liga idézõit. Egyesek saját ...;582,8;85;345;26,88;125;8,26;59,208;3,1;2,7
Nunu;a jetilovas;Support;Support,Fighter;A baráti kötelékek néha még a vér szavánál is erõsebbek. És ha ez a kötelék egy félelmet nem ismerõ fiú és egy félelmetes jeti között köttetik, az olyan hatalom, amelyet nem lehet figyelmen kívül hagyni. Nunu azt a feladatot kapta, hogy szelídítsen ...;598,28;90;350;26,38;125;8,39;59;4;2,25
Olaf;a rettenthetetlen viking;Fighter;Fighter,Tank;A legtöbb férfi úgy tartja, hogy a haláltól félni kell. Olaf nem tartozik ezen férfiak körébe. A rettenthetetlen vikinget csak a csatakiáltás moraja és az összecsapó acél csattanása élteti. A dicsõségvágytól és a dicstelen halál szégyenének fenyegetõ ...;597,24;93;350;26,04;125;8,51;59,98;3,5;2,7
Orianna;az óramûvek hölgye;Mage;Mage,Support;Élt egyszer egy piltoveri férfi, Corin Reveck, aki a világon mindennél jobban szerette a lányát, Oriannát. Bár Oriannának páratlan tehetsége volt a tánchoz, mindig is lenyûgözték a Legendák Ligájának hõsei. Ez a csodálat oda vezetett, hogy õ maga is ...;517,72;79;325;17,04;525;6,87;40,368;2,6;3,5
Pantheon;a háború mestere;Fighter;Fighter,Assassin;„Állíts ki ellenem egy igazi bajnokot, vagy száz olyat, mint te, és összecsapásunkról az idõk végezetéig fognak beszélni.”Pantheon egy páratlan tudású harcos, maga a testet öltött háború. A rakkor nép szülötte, akik a Targon-hegy oldalában ...;579,16;87;355;27,652;150;7,84;55,572;2,9;2,95
Poppy;a pöröly õrzõje;Tank;Tank,Fighter;„Nem vagyok hõs. Csak egy yordle pöröllyel.”Runaterra világában se szeri, se száma a bátor hõsöknek, de egyik sem olyan kitartó, mint Poppy. A magánál kétszer nagyobb pörölyt cipelõ yordle hosszú évek óta keresi „Demacia hõsét”, a megjövendölt ...;540;90;345;29;125;8;56;4;2,5
Quinn;Demacia szárnyai;Marksman;Marksman,Fighter;Quinn és Valor együtt egy elit rohamosztagot alkotnak. Számszeríjjal és karmokkal felfegyverkezve a legveszélyesebb küldetéseket hajtják végre népükért, mélyen benn az ellenséges területen, legyen szó gyors felderítésrõl vagy halálos rajtaütésrõl. Az ...;532,8;85;335;23,38;525;5,42;54,46;2,41;3,1
Rammus;a páncélos;Tank;Tank,Fighter;„Oké.”Rammus, ez a fura lény sokak szemében hõs, mások legyintenek rá, de mindenki számára rejtély. Rammust tüskés páncél védi, és bármerre jár, a származását illetõen egyre vadabb történetek születnek, amelyek szerint volt már félisten, szent ...;564,48;86;335;31,384;125;7,92;55,88;3,5;2,215
Rek'Sai;a sivatagi Ürességrém;Fighter;Fighter;Rek'Sai fajtája legnagyobb és legvadabb példánya, egy kegyetlen ragadozó, amely a földbe ásott járataiból elõtörve üt rajta a védtelen prédán. Csillapíthatatlan étvágya az egykor dicsõ Shurimai Birodalom hatalmas területeit tette kietlen pusztasággá. ...;570;90;335;24;175;7,34;55,628;3,35;2
Renekton;a sivatag mészárosa;Fighter;Fighter,Tank;„Vér és bosszú.”Renekton egy iszonyatos, gyûlölettõl hajtott Felemelkedett lény a shurimai sivatagból. Egykor a birodalom egyik legmegbecsültebb harcosa volt, aki számtalan gyõzelemre vezette Shurima seregeit. A birodalom bukásakor Renektont ...;572,16;87;345;25,584;125;7,96;58,328;3,1;2,65
Rengar;a büszke ragadozó;Assassin;Assassin,Fighter;Rengar tanyájának minden falát Valoran legveszedelmesebb lényeinek trófeái díszítik: fejek, szarvak, karmok és agyarak. Bár hatalmas a gyûjteménye, õ továbbra sem elégedett, és mindig újabb, még erõsebb prédát keres. Nem kapkodja el a támadást, ...;586,2;90;345;25,88;125;7;60;1,5;3,5
Riven;a számûzött;Fighter;Fighter,Assassin;„A háború és a gyilkolás között vékony a határ, de démonok hada lapul ott.”Noxusban bárki hatalomra kerülhet fajtól, nemtõl vagy társadalmi helyzettõl függetlenül. Csak az erõ számít. Riven szilárdan hitt ebben az alapelvben, és ezt követve ...;558,48;86;340;24,376;125;5,34;56,04;3;3,5
Rumble;a gépesített fenyegetés;Fighter;Fighter,Mage;„Ó jaj, nehéz lesz levakarni a képedet a ruhámról!”Rumble még a yordlék között is rendkívül aprónak számított. Mint ilyen, hozzászokott, hogy gyakran kötekednek vele, ezért agresszívabbnak és leleményesebbnek kellett lennie a többieknél. ...;584,4;80;345;25,88;125;8,005;61,036;3,2;1,85
Ryze;a rúnamágus;Mage;Mage,Fighter;„Légy óvatos ezzel a világgal. Ami felépült, az le is rombolható.”Ryze sokak szerint Runaterra egyik legtapasztaltabb varázslója, egy õsi, keménykötésû fõmágus, aki borzalmasan súlyos terhet cipel a vállán. A határtalan eltökéltséggel és ...;558,48;86;340;21,552;550;7;55,04;3;2,112
Sejuani;a tél haragja;Tank;Tank,Fighter;Sejuanit a megpróbáltatások táplálták, és a barbárság nevelte. Míg Freljord kegyetlen földje sokakat elemésztett, õt megedzette: a fájdalomból erõt merített, az éhségbõl bátorságot, a hideg pedig szövetségesévé vált a gyengék kiválasztása során. A ...;600;95;340;29,54;125;8,675;57,544;3,3;1,44
Shaco;a démoni bohóc;Assassin;Assassin;A legtöbben nem tartják viccesnek a halált. Nem így Shaco. Számára a halál egyenesen haláli. Õ Valoran elsõ tevékeny gyilkos tréfamestere: addig viccelõdik, amíg valaki halálát nem leli, de mindig õ nevet a végén. A Démoni Bohócként ismert alak kész ...;582,12;84;350;24,88;125;8,37;57,58;3,5;3
Shen;az alkony szeme;Tank;Tank,Melee;„A Szem nem látja a félelmet, a gyûlöletet és a szeretetet… vagyis semmit, ami veszélyt jelent az egyensúlyra.”Shen misztikus harcosok titkos klánját vezeti az Alkony Szemeként, akinek feladata az egyensúly megõrzése a világban. Shen a ...;540;85;340;25;125;8,5;60;3;2
Shyvana;a félvér sárkány;Fighter;Fighter,Tank;Shyvana – a sárkány és ember egyesülésébõl született félvér – egész életében tartozni szeretett volna valahová. Az üldöztetés azonban kegyetlen harcost faragott belõle, és aki Shyvana útjába mer állni, megtapasztalhatja a benne lakozó tüzes szörnyeteg ...;595;95;350;27,628;125;8,6;60,712;3,4;2,5
Singed;az õrült vegyész;Tank;Tank,Fighter;Singed a nagyra becsült és jelentõs múltra visszatekintõ zauni kémikusok leszármazottja. Már fiatalkorában kitûnt társai közül a bájitalok készítése terén mutatott tehetségével, és hamar nevet szerzett magának átlagos képességû kémikus honfitársai ...;542,76;82;345;27,88;125;8,02;62,32;3,375;1,81
Sion;az élõholt gyilkológép;Tank;Tank,Fighter;VÉR.ÉRZEM.AKAROM. SÓVÁRGOK. KELL!EGYRE KÖZELEBB. JÖNNEK.NINCS LÁNC? SZABADSÁG! ÖLNI!ELÉREM. IGEN! PUSZTULJ! PUSZTULJ!Vége. Túl gyorsan. Semmi küzdelem. Még. Még… többet akarok.Egy hang? Nem ...;542,64;73;345;23,04;175;10,18;59,72;4;1,3
Sivir;a viadal úrnõje;Marksman;Marksman;„Nem érdekel, kinek a képe van az érmén, amíg kifizetnek vele.”Sivir hírhedt szerencsevadász és zsoldosvezér, aki a shurimai sivatagban ûzi a mesterségét. Legendás, ékkövekkel díszített, kereszt alakú pengéjével számtalan csatát vívott és ...;515,76;82;335;22,21;500;5,17;57,46;2,41;1,6
Skarner;a kristály élharcosa;Fighter;Fighter,Tank;„Egyek vagyunk. Minket nem törhetnek meg.”Skarner, az óriási kristályskorpió Shurima egyik titkos völgyébõl származik. Az õsi brackern faj tagjaiként Skarner és társai páratlan bölcsességükrõl híresek. Mélyen kötõdnek a szülõföldjükhöz, mivel ...;601,28;90;335;29,384;125;8,925;57,156;4,5;2,1
Sona;a húrok virtuóza;Support;Support,Mage;Sona nem emlékszik a valódi szüleire. Egy ioniai árvaház elõtt találtak rá csecsemõként, egy õsi, ismeretlen eredetû hangszer gyönyörû tokján. Sona gyermekként rendkívül jól viselkedett, mindig csöndes és boldog volt. Gondozói biztosra vették, hogy ...;482,36;77;325;20,544;550;5,42;50,04;3;2,3
Soraka;a csillaggyermek;Support;Support,Mage;A csillagok varázserejével megáldott gyógyító, Soraka, minden élõlény sorsát a szívén viseli. Valaha égi teremtmény volt, de feláldozta halhatatlanságát, és belépett a halandók világába. Amíg a gonosz a valoraniak életét fenyegeti, Soraka nem lel ...;529,04;78;325;23,384;550;2,5;50,04;3;2,14
Swain;a mesteri taktikus;Mage;Mage,Fighter;Swain létezésének elsõ bizonyítéka egy noxusi gyengélkedõ egyik orvosának a bejegyzése. A feljegyzések szerint Swain egyetlen jajszó nélkül bicegett be a kórterembe. Jobb lába ketté volt törve, csontja kiállt a bõr alól. Egy apró, mogorva madár ült a ...;516,04;90;335;22,72;500;7,84;52,04;3;2,11
Syndra;a sötét fejedelem;Mage;Mage,Support;A születése óta hatalmas varázspotenciállal bíró Syndra azt szereti a legjobban, ha kihasználhatja a rendelkezésére álló erõt. Varázsereje napról napra egyre hatékonyabbá és pusztítóbbá válik. Syndra egyetlen célja, hogy uralja a benne rejlõ erõt, az ...;511,04;78;330;24,712;550;6,505;53,872;2,9;2
Tahm Kench;a folyó királya;Support;Support,Tank;„A világ egy nagy folyó, és én vagyok a királya.”Tahm Kench Runaterra vizeit járva keresi a gyanútlan áldozatokat, akiknek bánatával csillapíthatja telhetetlen étvágyát. Az egyedülállóan elbûvölõ modorú ínyenc az áldozat szenvedésének minden ...;610;95;335;27;175;6,5;56;3,2;2,5
Taliyah;a sziklaszövõ;Mage;Mage,Support;Taliyah egy shurimai nomád mágus, aki energetikus lelkesedésével és a puszta akaratával képes az irányítása alá vonni a föld erejét. A tinédzserkor csodái és a felnõttkor felelõsségei között õrlõdve Taliyah Valoran szinte minden szegletében megfordult ...;520;75;325;20;525;7;56;3,3;1,36
Talon;a penge árnyéka;Assassin;Assassin,Fighter;„Valoran három leghalálosabb pengeforgatója mind a Du Couteau házhoz kötõdik: édesapám, jómagam és Talon. Állj ki ellenünk, ha mersz!”-- Katarina Du CouteauTalon legkorábbi emlékeiben Noxus földalatti járatainak sötétje és az ...;583;90;335;26,88;125;8,51;60;3,1;2,9
Taric;Valoran pajzsa;Support;Support,Fighter;„A legjobb fegyverek egyben gyönyörûek is.”Taric az Oltalmazó megtestesülése, aki hatalmas erõ birtokában az élet, a szeretet és a szépség õre Runaterra-szerte. Taricot kötelességmulasztás miatt nyilvánosan megszégyenítették és számûzték ...;575;90;340;25;150;6;55;3,5;2
Teemo;a fürge felderítõ;Marksman;Marksman,Assassin;Teemo élõ legenda a yordle testvérei között, Bandlevárosban. A yordlék szerint Teemo furcsább az átlagosnál. Bár jól érzi magát más yordlék társaságában, mégis ragaszkodik hozzá, hogy rendszeresen önálló küldetéseket hajtson végre Bandleváros védelme ...;515,76;82;330;24,3;500;5,74;49,54;3;3,38
Thresh;a láncok õre;Support;Support,Fighter;„Az elme csodálatos dolog… csodálatos érzés széttépni.”A szadista és ravasz Thresh egy nyughatatlan szellem, aki örömét leli a halandók kínzásában, és rendkívül találékony, lassú és fájdalmas módszerekkel töri meg õket. Az áldozatok ...;560,52;93;335;16;450;6,92;47,696;2,2;3,5
Tristana;a yordle tüzér;Marksman;Marksman,Assassin;Nem a méret számít – ki is lehetne jobb példa erre, mint ez az apró, yordle mesterlövész. Ezekben a vészterhes idõkben Tristanának meg sem fordul a fejében, hogy bármilyen kihívást visszautasítson. Õ a harcedzettség, a rendíthetetlen bátorság és a ...;542,76;82;325;22;550;6,19;56,96;2,41;1,5
Trundle;a Troll király;Fighter;Fighter,Tank;Trundle egy nagydarab, fondorlatos troll, aki mindig rosszban sántikál. Nincs semmi, amit a puszta erejével ne tudna behódolásra késztetni, és az akaratának semmi nem állhat ellen, még maga a jég sem. Súlyos jégbunkójával a vért is megfagyasztja az ...;616,28;96;350;27,536;175;6;60,04;3;2,9
Tryndamere;a barbárvezér;Fighter;Fighter,Assassin;Tryndamere féktelen haragjától és dühétõl hajtva vág magának utat a tundrán, és Freljord legnagyobb harcosait párbajra hívva emeli mesteri szintre harcmûvészetét. A bõsz barbár bosszút esküdött az idegen ellen, aki megtizedelte klánját, és jaj azoknak,...;625,64;98;345;24,108;125;8,51;61,376;3,2;2,9
Twisted Fate;a hamiskártyás;Mage;Mage;Twisted Fate, a hírhedt hamiskártyás és csaló bejárta az ismert világ jó részét, és mindenütt kivívta magának a gazdagok és az ostobák gyûlöletét vagy csodálatát. Ritkán vesz bármit is komolyan, és minden napot gúnyos mosollyal, nemtörõdöm ...;521,76;82;330;20,542;525;5,505;49,954;3,3;3,22
Twitch;a pestispatkány;Marksman;Marksman,Assassin;K.A.P.T.Á.R. esetjelentésTörvényszegés típusa: ipari gyilkosságÜgy státusza: megoldatlanA nyomozást végzõ ügynök: Rol, P.Egy gyanús egyénrõl és bûnözõi tevékenységrõl érkezett bejelentés nyomán az egység kivonult a csatornarendszer ...;525,08;81;330;23,04;550;6,005;55,46;2,41;3,38
Udyr;a lélekvándor;Fighter;Fighter,Tank;Udyr több mint ember – négy õsi állatszellem zabolázatlan hatalma lakozik benne. És amikor segítségül hívja ezeket, mindegyik szellem vadállati természete más-más erõvel ruházza fel: a tigris sebességgel és vadsággal, a teknõs ellenálló képességgel, a ...;593,32;99;345;25,47;125;6;58,286;3,2;2,67
Urgot;a hóhér büszkesége;Marksman;Marksman,Fighter;Egyes harcosok nagysága erejükben, ravaszságukban vagy mesteri fegyverforgatásukban rejlik. Mások egyszerûen csak nem hajlandók meghalni. Urgot, Noxus egykori kiváló katonája az utóbbiak közé tartozik. Urgot általában szívvel-lélekkel belevetette ...;586,52;89;335;24,544;425;6,505;54,05;3,6;2,9
Varus;a megtorlás nyila;Marksman;Marksman,Mage;„A nyíl röpke életét az irány és a szándék határozza meg.”Varus páratlan íjásztehetsége és feddhetetlensége miatt kapta meg egy szent ioniai templom õrzésének feladatát. A templom a romlás egyik õsi vermében rejlõ aljasság kordában tartására ...;537,76;82;330;23,212;575;5,42;54,66;2,41;3
Vayne;az éji vadász;Marksman;Marksman,Assassin;A világ nem mindig annyira civilizált hely, mit amilyennek gondolnánk. Egyeseket, akik a varázslat legsötétebb útjait járják, megrontanak a Runaterrát átszövõ sötét erõk. Shauna Vayne nagyon is jól tudja ezt.A kiváltságos demaciai elitbe ...;498,44;83;330;19,012;550;5,42;55,88;1,66;4
Veigar;a gonoszság apró mestere;Mage;Mage;A legtöbben nem a félelmetes jelzõre asszociálnak, ha a yordle néprõl van szó. A könnyelmû, apró termetû, ám heves fajra általában bizonyos mértékû kedélyességgel tekintenek. Magas hangjuk és aranyos kinézetük egyfajta védelmezõ ösztönt hoz elõ a ...;492,76;82;340;22,55;525;5,42;50,71;2,625;2,24
Vel'Koz;az Üresség szeme;Mage;Mage;Belépek a hirtelen támadt ragyogásba. Pislogok. Egyre csak pislogok. A szemem hozzászokik a fényhez, és felméri az elõttem elterülõ tájat.Valami gyors mozgolódást érzékelek. Ahogy lenézek, egy apró, fehér teremtményt látok – a hátsó lábán áll, ...;507,68;76;340;21,88;525;5,42;54,9379;3,14159;1,36
Vi;a piltoveri végrehajtó;Fighter;Fighter,Assassin;Vi számára a problémák csak egy újabb falat jelentenek, amit átüthet hatalmas hextech kesztyûjével. Bár az illegalitás világában nõtt fel, Vi most arra használja alvilági tudását, hogy Piltover rendõrségét szolgálja. Vi rámenõs hozzáállása, nyers ...;582,8;85;345;25,88;125;9,01;55,88;3,5;2,5
Viktor;a géphírnök;Mage;Mage;Viktor már fiatalon rájött, hogy vonzódik a tudományhoz és a találmányokhoz, és ezen belül is leginkább a gépi automatizálás területéhez. Elvégezte a rendkívül elismert zauni Technomágiai Fõiskolát, és õ vezette azt a csapatot, amely megalkotta ...;516,04;78;335;22,72;525;7,84;52,04;3;2,11
Vladimir;a karmazsin kaszás;Mage;Mage,Tank;A Noxus és a Viharsíkság között elterülõ hegység egy templomot rejt, amely egy borzasztó, õsi mágia titkait õrzi. A templom körül szanaszét hevernek mindazok vértelen hullái, akik tévedésbõl túl közel merészkedtek. Ám ez csak felajzotta Vladimir ...;525;84;330;23;450;7,005;52;3;2
Volibear;a mennydörgés hangja;Fighter;Fighter,Tank;Freljord könyörtelen északi vidéke az urszinok otthona. Ez a vad és harcias faj több ezer éve él a jeges tundrán. A vezetõjük egy ádáz harcos, aki a villám erejével csap le és félemlíti meg az ellenfeleit: Volibear. Az egyszerre harcos és sámán ...;584,48;86;345;26,38;125;8,09;59,544;3,3;2,67
Warwick;a vérvadász;Fighter;Fighter,Tank;Warwicket valaha rendkívül nagy tiszteletben tartották, mert figyelemreméltóan volt képes emberi kísérleti alanyokat találni a legsötétebb tudományos kutatásokhoz. Amikor ambíciói túllépték teste fizikai határait, megivott egy veszélyes elixírt, amely ...;592,64;98;345;25,88;125;8,39;62,43;3,375;2,88
Xerath;az emelkedett mágus;Mage;Mage,Assassin;„Egy életen át tartó rabszolgaság készített fel arra, hogy az örökkévalóságig feletted álljak.”Xerath az õsi Shurimai Birodalom egyik Felemelkedett mágusa. Lényét egy elvarázsolt szarkofág törött szilánkjai között tomboló, mágikus energia ...;514,4;80;340;21,88;525;5,42;54,7;3;1,36
Xin Zhao;Demacia udvarmestere;Fighter;Fighter,Assassin;„A halál elkerülhetetlen, csak a vereség elõl lehet kitérni.”Valahányszor III. Jarvan, Demacia uralkodója buzdító beszédet tart a királyi palota csillogó márványerkélyérõl, Xin Zhao mindig ott áll mellette. A Demaciai Udvarmesterré kinevezett ...;600;92;345;25,88;175;8,175;57,544;3,3;2,6
Yasuo;a kitaszított;Fighter;Fighter,Assassin;Yasuo maga a törhetetlen akarat. Egy mozgékony kardforgató, aki ellenfelei legyõzése érdekében magát a szelet is igába hajtja. Az egykor büszke harcost egy hamis vád szégyenítette meg – azóta élete a túlélésért folytatott, kétségbeesett harcról szól. ...;517,76;82;345;24,712;175;6,51;55,376;3,2;2,5
Yorick;a lelkek pásztora;Fighter;Fighter,Tank;„Ezek a szigetek... Mennyi kín sikolt belõlük.”Yorick egy rég elfeledett rend utolsó tagja, akinek holtak feletti hatalma egyszerre áldás és átok. Az Árny-szigetek foglya, egyedüli társaságát a maga köré gyûjtött rothadó tetemek és sikoltozó ...;580;100;340;30;175;8;57;5;2
Zac;a titkos fegyver;Tank;Tank,Fighter;Zac egy zauni kísérlet eredménye, amelynek célja a hexakémiailag megtervezett szuperharcos, a Zauni Amorf Katona megalkotása volt. Zac a nyers erõ és a korlátlan rugalmasság ötvözete, egy sokoldalú buldózer: kreatív harcos, aki átugrik az akadályokon, ...;614,6;95;340;23,88;175;7,92;59,67;3,375;1,6
Zed;az árnyak nagyura;Assassin;Assassin,Fighter;Zed 200 éve az elsõ nindzsa, aki az õsi, tiltott erõk útjára lépett. Megtagadta klánját és mesterét, és elutasította az egyensúlyt és a fegyelmet, amelyek egész életében megbéklyózták. Zed most azok számára kínál hatalmat, akik nyitottak az árnyak ...;579,4;80;345;26,88;125;7,09;54,712;3,4;2,1
Ziggs;a hextikus robbantó;Mage;Mage;Ziggs született bütykölõ volt, de kaotikus, hiperaktív természetével kilógott a yordle tudósok soraiból. Mindig is arra vágyott, hogy Heimerdingerhez hasonlóan õ is elismert feltaláló legyen. Mániákus eltökéltséggel vetette bele magát számos, sikerrel ...;524,4;80;325;21,544;550;6,255;54,208;3,1;2
Zilean;az idõ õre;Support;Support,Mage;Urtisztán pusztái régen egy hatalmas városnak adtak otthont. A város rég elpusztult egy szörnyû Rúnaháborúban, a Nagy-választóhegységtõl délre esõ területek nagy részével együtt. Egy ember azonban életben maradt közülük: Zilean, a varázsló. Mivel az ...;499,28;77;335;19,134;550;5,44;51,64;3;2,13
Zyra;a tövisek úrnõje;Mage;Mage,Support;A sorsának irányítására képtelen õsi, haldokló növény, Zyra átmenekítette tudatát egy emberi testbe, hogy még egy esélyt kapjon az életre. Évszázadokkal ezelõtt õ és a fajtája uralták a Kumungu-dzsungelt. Tüskéik és indáik elõl egyetlen állat sem ...;499,32;74;340;20,04;575;5,69;53,376;3,2;2,11
